 INFO | 18/Dec/2013 09:42:13,312 | Airport.java:66 | Airport created with name: test and landing fields: 3
 INFO | 18/Dec/2013 09:42:13,341 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,350 | Airport.java:66 | Airport created with name: test and landing fields: 3
 INFO | 18/Dec/2013 09:42:13,351 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,352 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,358 | Airport.java:66 | Airport created with name: test and landing fields: 3
 INFO | 18/Dec/2013 09:42:13,359 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,359 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,363 | Plane.java:78 | The aircraft :AA-1 has landed in 0at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,366 | Airport.java:66 | Airport created with name: test and landing fields: 3
 INFO | 18/Dec/2013 09:42:13,367 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,367 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,368 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,369 | Plane.java:78 | The aircraft :AA-1 has landed in 0at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,370 | Plane.java:78 | The aircraft :AA-2 has landed in 1at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,371 | Plane.java:78 | The aircraft :AA-3 has landed in 2at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,391 | Airport.java:66 | Airport created with name: test and landing fields: 3
 INFO | 18/Dec/2013 09:42:13,392 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,397 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,398 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,402 | Plane.java:78 | The aircraft :AA-1 has landed in 0at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,405 | Plane.java:78 | The aircraft :AA-2 has landed in 1at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,405 | Plane.java:78 | The aircraft :AA-3 has landed in 2at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,407 | Plane.java:180 | Plane:AA-1 called for parking
 INFO | 18/Dec/2013 09:42:13,411 | Plane.java:185 | Plane:AA-1 park
 INFO | 18/Dec/2013 09:42:13,412 | Airport.java:66 | Airport created with name: test and landing fields: 3
 INFO | 18/Dec/2013 09:42:13,413 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,414 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,415 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,419 | Plane.java:78 | The aircraft :AA-1 has landed in 0at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,420 | Plane.java:78 | The aircraft :AA-2 has landed in 1at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,421 | Plane.java:78 | The aircraft :AA-3 has landed in 2at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,422 | ControlTowerDefault.java:120 | the aircraft with id: AA-2 was removed from the landing field no: 1
 INFO | 18/Dec/2013 09:42:13,424 | Airport.java:66 | Airport created with name: test and landing fields: 3
 INFO | 18/Dec/2013 09:42:13,425 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,428 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,429 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,440 | Plane.java:78 | The aircraft :AA-1 has landed in 0at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,443 | Plane.java:78 | The aircraft :AA-2 has landed in 1at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,444 | Plane.java:78 | The aircraft :AA-3 has landed in 2at: Wed Dec 18 09:42:13 CET 2013
ERROR | 18/Dec/2013 09:42:13,448 | ControlTowerDefault.java:116 | The aircraft wasn't able to go to the parking queue because the aircraft  was not found on any landing field, aircraft id:AA-21
 INFO | 18/Dec/2013 09:42:13,451 | Airport.java:66 | Airport created with name: test and landing fields: 3
 INFO | 18/Dec/2013 09:42:13,455 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,456 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,457 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,459 | Plane.java:78 | The aircraft :AA-1 has landed in 0at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,464 | Plane.java:78 | The aircraft :AA-2 has landed in 1at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,465 | Plane.java:78 | The aircraft :AA-3 has landed in 2at: Wed Dec 18 09:42:13 CET 2013
